product_name,profit_per_order
Field & Stream Sportsman 16 Gun Fire Safe,756220.767189502
Perfect Fitness Perfect Rip Deck,493828.299782181
Diamondback Women's Serene Classic Comfort Bi,427455.568105731
Nike Men's Free 5.0+ Running Shoe,379915.818503431
Nike Men's Dri-FIT Victory Golf Polo,350421.02956735
Pelican Sunstream 100 Kayak,324076.370020296
O'Brien Men's Neoprene Life Vest,318451.430554194
Nike Men's CJ Elite 2 TD Football Cleat,311902.820213578
Under Armour Girls' Toddler Spine Surge Runni,126278.510298901
Dell Laptop,69656.81017112
